strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,15,45.0,31927043512,823,-236.570892333984,23.9693164825439
decentralizedWeighted,15,45.0,32111592899,823,-244.312515258789,8.48747444152832
decentralizedWeighted,15,45.0,32296142286,823,-240.436431884766,23.5277080535889
decentralizedWeighted,15,45.0,32480691673,823,-220.561279296875,14.9308681488037
decentralizedWeighted,15,45.0,32665241060,823,-243.932983398438,18.8128566741943
decentralizedWeighted,15,45.0,32849790447,823,-238.596313476563,9.87755966186523
decentralizedWeighted,15,45.0,33034339834,823,-216.276962280273,5.24947643280029
decentralizedWeighted,15,45.0,33218889221,823,-251.829132080078,6.21927356719971
decentralizedWeighted,15,45.0,33403438608,823,-235.950836181641,-16.3725452423096
decentralizedWeighted,15,45.0,33587987995,823,-264.315246582031,2.21199989318848
decentralizedWeighted,15,45.0,33772537382,823,-229.011688232422,15.6124830245972
decentralizedWeighted,15,45.0,33957086769,823,-218.483779907227,-20.5268802642822
decentralizedWeighted,15,45.0,34141636156,823,-225.544982910156,7.62934398651123
decentralizedWeighted,15,45.0,34326185543,823,-243.720550537109,23.9999885559082
decentralizedWeighted,15,45.0,34510734930,823,-263.681945800781,17.2818012237549
decentralizedWeighted,15,45.0,31927043512,892,-223.565414428711,39.0704536437988
decentralizedWeighted,15,45.0,32111592899,892,-250.584213256836,-12.1685743331909
decentralizedWeighted,15,45.0,32296142286,892,-240.331649780273,43.0197601318359
decentralizedWeighted,15,45.0,32480691673,892,-209.298965454102,21.2999591827393
decentralizedWeighted,15,45.0,32665241060,892,-249.065292358398,20.6782970428467
decentralizedWeighted,15,45.0,32849790447,892,-237.998474121094,0.04228103160858
decentralizedWeighted,15,45.0,33034339834,892,-208.537338256836,1.13946437835693
decentralizedWeighted,15,45.0,33218889221,892,-253.52571105957,4.57882213592529
decentralizedWeighted,15,45.0,33403438608,892,-240.262878417969,-25.2417602539063
decentralizedWeighted,15,45.0,33587987995,892,-268.251007080078,-2.67240142822266
decentralizedWeighted,15,45.0,33772537382,892,-226.4453125,21.6779346466064
decentralizedWeighted,15,45.0,33957086769,892,-209.039337158203,-20.5268802642822
decentralizedWeighted,15,45.0,34141636156,892,-222.687286376953,-10.5931987762451
decentralizedWeighted,15,45.0,34326185543,892,-256.525726318359,37.3708381652832
decentralizedWeighted,15,45.0,34510734930,892,-271.472412109375,17.3615322113037
decentralizedWeighted,15,45.0,31927043512,992,-220.235107421875,40.6459426879883
decentralizedWeighted,15,45.0,32111592899,992,-250.584213256836,-16.0192127227783
decentralizedWeighted,15,45.0,32296142286,992,-240.331649780273,47.9255485534668
decentralizedWeighted,15,45.0,32480691673,992,-204.393173217773,21.2999591827393
decentralizedWeighted,15,45.0,32665241060,992,-248.800842285156,20.0103206634521
decentralizedWeighted,15,45.0,32849790447,992,-237.998474121094,-4.8635082244873
decentralizedWeighted,15,45.0,33034339834,992,-203.631546020508,1.13946437835693
decentralizedWeighted,15,45.0,33218889221,992,-253.3232421875,2.83311700820923
decentralizedWeighted,15,45.0,33403438608,992,-240.262878417969,-30.1475505828857
decentralizedWeighted,15,45.0,33587987995,992,-268.251007080078,-7.57819032669067
decentralizedWeighted,15,45.0,33772537382,992,-226.4453125,16.772144317627
decentralizedWeighted,15,45.0,33957086769,992,-204.133544921875,-20.5268802642822
decentralizedWeighted,15,45.0,34141636156,992,-222.687286376953,-15.4989881515503
decentralizedWeighted,15,45.0,34326185543,992,-256.847503662109,34.7372703552246
decentralizedWeighted,15,45.0,34510734930,992,-271.472412109375,22.2673225402832
decentralizedWeighted,15,45.0,31927043512,1090,-215.256378173828,40.6459426879883
decentralizedWeighted,15,45.0,32111592899,1090,-250.584213256836,-20.9979457855225
decentralizedWeighted,15,45.0,32296142286,1090,-240.331649780273,52.9042854309082
decentralizedWeighted,15,45.0,32480691673,1090,-199.414443969727,21.2999591827393
decentralizedWeighted,15,45.0,32665241060,1090,-248.333419799805,19.922887802124
decentralizedWeighted,15,45.0,32849790447,1090,-237.998474121094,-9.84224128723145
decentralizedWeighted,15,45.0,33034339834,1090,-198.652816772461,1.13946437835693
decentralizedWeighted,15,45.0,33218889221,1090,-253.092300415039,2.08271503448486
decentralizedWeighted,15,45.0,33403438608,1090,-240.262878417969,-35.1262817382813
decentralizedWeighted,15,45.0,33587987995,1090,-268.251007080078,-12.5569229125977
decentralizedWeighted,15,45.0,33772537382,1090,-226.4453125,11.7934112548828
decentralizedWeighted,15,45.0,33957086769,1090,-199.154815673828,-20.5268802642822
decentralizedWeighted,15,45.0,34141636156,1090,-222.687286376953,-20.4777221679688
decentralizedWeighted,15,45.0,34326185543,1090,-256.847503662109,39.716007232666
decentralizedWeighted,15,45.0,34510734930,1090,-271.472412109375,19.1641883850098
decentralizedWeighted,15,45.0,31927043512,1189,-210.202499389648,40.6459426879883
decentralizedWeighted,15,45.0,32111592899,1189,-250.584213256836,-26.0518493652344
decentralizedWeighted,15,45.0,32296142286,1189,-240.331649780273,57.958179473877
decentralizedWeighted,15,45.0,32480691673,1189,-194.360565185547,21.2999591827393
decentralizedWeighted,15,45.0,32665241060,1189,-248.333419799805,24.9767913818359
decentralizedWeighted,15,45.0,32849790447,1189,-237.998474121094,-9.83670711517334
decentralizedWeighted,15,45.0,33034339834,1189,-193.598937988281,1.13946437835693
decentralizedWeighted,15,45.0,33218889221,1189,-253.092300415039,7.13661575317383
decentralizedWeighted,15,45.0,33403438608,1189,-240.262878417969,-40.18017578125
decentralizedWeighted,15,45.0,33587987995,1189,-268.251007080078,-17.6108226776123
decentralizedWeighted,15,45.0,33772537382,1189,-226.4453125,6.73951244354248
decentralizedWeighted,15,45.0,33957086769,1189,-194.100936889648,-20.5268802642822
decentralizedWeighted,15,45.0,34141636156,1189,-222.687286376953,-25.5316257476807
decentralizedWeighted,15,45.0,34326185543,1189,-256.847503662109,44.7699012756348
decentralizedWeighted,15,45.0,34510734930,1189,-271.472412109375,14.1102867126465
decentralizedWeighted,15,45.0,31927043512,1289,-205.202529907227,40.6459426879883
decentralizedWeighted,15,45.0,32111592899,1289,-250.584213256836,-24.385181427002
decentralizedWeighted,15,45.0,32296142286,1289,-235.331680297852,57.958179473877
decentralizedWeighted,15,45.0,32480691673,1289,-189.360595703125,21.2999591827393
decentralizedWeighted,15,45.0,32665241060,1289,-245.000106811523,26.6434593200684
