strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,45.0,31927043512,815,-216.715698242188,-0.94903558492661
decentralizedWeighted,20,45.0,32111592899,815,-235.269836425781,9.56428050994873
decentralizedWeighted,20,45.0,32296142286,815,-259.257568359375,-8.54140472412109
decentralizedWeighted,20,45.0,32480691673,815,-216.367614746094,21.3793106079102
decentralizedWeighted,20,45.0,32665241060,815,-242.515899658203,20.6672191619873
decentralizedWeighted,20,45.0,32849790447,815,-251.401062011719,9.72646141052246
decentralizedWeighted,20,45.0,33034339834,815,-230.465240478516,1.0989248752594
decentralizedWeighted,20,45.0,33218889221,815,-240.782623291016,10.8998594284058
decentralizedWeighted,20,45.0,33403438608,815,-229.900054931641,-14.8818473815918
decentralizedWeighted,20,45.0,33587987995,815,-221.872131347656,11.9611854553223
decentralizedWeighted,20,45.0,33772537382,815,-229.373489379883,-2.98108005523682
decentralizedWeighted,20,45.0,33957086769,815,-261.626098632813,-16.6972789764404
decentralizedWeighted,20,45.0,34141636156,815,-254.94563293457,0.70050060749054
decentralizedWeighted,20,45.0,34326185543,815,-261.898681640625,-18.442232131958
decentralizedWeighted,20,45.0,34510734930,815,-250.290084838867,14.7628126144409
decentralizedWeighted,20,45.0,34695284317,815,-261.153503417969,12.0181169509888
decentralizedWeighted,20,45.0,34879833704,815,-264.248626708984,3.4360945224762
decentralizedWeighted,20,45.0,35064383091,815,-264.237823486328,19.9280166625977
decentralizedWeighted,20,45.0,35248932478,815,-217.329513549805,-19.8490200042725
decentralizedWeighted,20,45.0,35433481865,815,-262.275512695313,-12.3130187988281
decentralizedWeighted,20,45.0,31927043512,881,-206.864608764648,-3.69972467422485
decentralizedWeighted,20,45.0,32111592899,881,-228.134048461914,21.0004653930664
decentralizedWeighted,20,45.0,32296142286,881,-260.9990234375,-17.937557220459
decentralizedWeighted,20,45.0,32480691673,881,-212.432266235352,28.4089889526367
decentralizedWeighted,20,45.0,32665241060,881,-237.750411987305,34.2791175842285
decentralizedWeighted,20,45.0,32849790447,881,-264.125457763672,14.7191619873047
decentralizedWeighted,20,45.0,33034339834,881,-231.419692993164,2.011479139328
